,geoid,oz,LICadj,eligible,k=6,k6silhouette_score,not_picked
67448,51510201802,0,0,0,,,0
67449,51510200104,1,0,1,1.0,-0.04914572577281585,0
67450,51510200105,0,0,1,,,1
67451,51510200201,0,0,0,,,0
67452,51510200301,0,0,1,,,1
67453,51510201202,0,0,0,,,0
67454,51510202002,0,0,0,,,0
67455,51510200102,1,0,1,1.0,0.07517569631968103,0
67456,51510200103,0,0,1,,,1
67457,51510201203,1,0,1,2.0,0.08635682776982459,0
67458,51510201204,0,0,0,,,0
67459,51510201801,0,0,0,,,0
67460,51510201500,0,0,0,,,0
67461,51510201600,0,0,0,,,0
67462,51510200500,0,0,1,,,1
67463,51510200802,0,0,0,,,0
67464,51510201900,0,0,0,,,0
67465,51510200202,0,0,0,,,0
67466,51510200600,0,0,1,,,1
67467,51510200801,0,0,0,,,0
67468,51510202001,0,0,0,,,0
67469,51510200302,0,0,0,,,0
67470,51810046207,0,0,0,,,0
67471,51810045407,1,0,1,5.0,0.21105053630083423,0
67472,51810045415,0,0,0,,,0
67473,51810045808,0,0,1,,,1
67474,51810046211,0,0,0,,,0
67475,51810046217,0,0,0,,,0
67476,51810041004,0,0,1,,,1
67477,51810042201,0,0,0,,,0
67478,51810042802,0,0,1,,,1
67479,51810045200,0,0,1,,,1
67480,51810040802,0,1,1,,,1
67481,51810041600,0,0,0,,,0
67482,51810042000,0,0,0,,,0
67483,51810043200,0,0,1,,,1
67484,51153901602,0,0,1,,,1
67485,51153901701,0,0,1,,,1
67486,51153900300,1,0,1,0.0,0.3293598612770528,0
67487,51153900403,0,0,1,,,1
67488,51153901203,0,0,1,,,1
67489,51153901219,0,0,0,,,0
